"","X","cluster"
"1299","CTRN",1
"1300","RACE",1
"1301","HI",1
"1302","WBAI",1
"1303","CHDN",1
"1304","RICK",1
"1305","FRGI",1
"1306","SKY",1
"1307","MOV",1
"1308","CRWS",1
"1309","LQDT",1
"1310","TSQ",1
"1311","PBPB",1
"1312","TACO",1
"1313","NDLS",1
"1314","UNF",1
"1315","CLUB",1
"1316","RUTH",1
"1317","HABT",1
"1318","CSS",1
"1319","SRI",1
"1320","BNED",1
"1321","MED",1
"1322","MCRI",1
"1323","JAKK",1
"1324","CMPR",1
"1325","RLH",1
"1326","WPP",1
"1327","OXM",1
"1328","CMT",1
"1329","RDI",1
"1330","LCUT",1
"1331","JAX",1
"1332","DLB",1
"1333","NATH",1
"1334","MCS",1
"1335","SMP",1
"1336","RCKY",1
"1337","SYX",1
"1338","GCO",1
"1339","NVR",1
"1340","SQBG",1
"1341","BLBD",1
"1342","SMRT",1
"1343","WKHS",1
"1344","IHG",1
"1345","EDUC",1
"1346","FLXS",1
"1347","VALU",1
"1348","MYE",1
"1349","NC",1
"1350","EVI",1
"1351","CNET",1
"1352","HOFT",1
"1353","SALM",1
"1354","GHC",1
"1355","CSV",1
"1356","LIND",1
"1357","WEYS",1
"1358","STKS",1
"1359","VOXX",1
"1360","SORL",1
"1361","CRMT",1
"1362","LITB",1
"1363","MHO",1
"1364","CNTY",1
"1365","STON",1
"1366","TLYS",1
"1367","DXYN",1
"1368","CYRX",1
"1369","KNDI",1
"1370","CLAR",1
"1371","PLOW",1
"1372","CVCO",1
"1373","ARKR",1
"1374","SRAX",1
"1375","SSI",1
"1376","NYNY",1
"1377","JOUT",1
"1378","MLR",1
"1379","SGC",1
"1380","BH",1
"1381","UFPT",1
"1382","VIA",1
"1383","BSET",1
"1384","CIDM",1
"1385","CULP",1
"1386","DLA",1
"1387","FLL",1
"1388","GFA",1
"1389","NTN",1
"1390","NVFY",1
"1391","RAVE",1
"1392","STRT",1
"1393","TLF",1
"1394","TWMC",1
"1395","UFI",1
"1396","MKGI",1
"1397","RUSHB",1
"1398","AHC",1
"1399","ATV",1
"1400","BDL",1
"1401","BTN",1
"1402","BURG",1
"1403","CAAS",1
"1404","CPHC",1
"1405","CTIB",1
"1406","CXDC",1
"1407","DGSE",1
"1408","DHXM",1
"1409","DISCB",1
"1410","DJCO",1
"1411","DSWL",1
"1412","DVD",1
"1413","EMMS",1
"1414","ESCA",1
"1415","EVK",1
"1416","FFHL",1
"1417","FORD",1
"1418","FORK",1
"1419","GNUS",1
"1420","GTIM",1
"1421","HHS",1
"1422","HOVNP",1
"1423","INSE",1
"1424","ISIG",1
"1425","JMU",1
"1426","KBSF",1
"1427","LUB",1
"1428","MANU",1
"1429","MNI",1
"1430","NAKD",1
"1431","NTZ",1
"1432","NWHM",1
"1433","QRTEB",1
